id,exchange_id,ticker,asset_class,source,base_asset,quote_asset,company_name,status,listed_date,metadata,created_at,updated_at
1,1,FPT,stock,vnstock,,,Công ty Cổ phần FPT,active,,{},2026-06-09 05:43:30.862302+00:00,2026-07-08 05:55:27.275767+00:00
2,2,BTCUSDT,crypto,binance,BTC,USDT,,active,,{},2026-06-09 05:43:30.862302+00:00,2026-07-08 05:55:27.275767+00:00
6,2,ETHUSDT,crypto,binance,ETH,USDT,,active,,{},2026-06-10 14:04:12.389132+00:00,2026-07-08 05:55:27.275767+00:00
7,2,SOLUSDT,crypto,binance,SOL,USDT,,active,,{},2026-06-10 14:04:26.870293+00:00,2026-07-08 05:55:27.275767+00:00
8,2,BNBUSDT,crypto,binance,BNB,USDT,,active,,{},2026-06-10 14:04:40.350538+00:00,2026-07-08 05:55:27.275767+00:00
11,1,VCB,stock,vnstock,,,,active,,{},2026-06-10 14:06:08.731869+00:00,2026-07-08 05:55:27.275767+00:00
12,1,MSN,stock,vnstock,,,,active,,{},2026-06-10 14:06:31.277186+00:00,2026-07-08 05:55:27.275767+00:00
13,1,VNM,stock,vnstock,,,,active,,{},2026-06-10 14:06:32.405030+00:00,2026-07-08 05:55:27.275767+00:00
14,1,HPG,stock,vnstock,,,,active,,{},2026-06-10 14:06:54.627341+00:00,2026-07-08 05:55:27.275767+00:00
19,2,XRPUSDT,crypto,binance,XRP,USDT,,active,,{},2026-06-29 14:22:08.323665+00:00,2026-07-08 05:55:27.275767+00:00
20,2,ADAUSDT,crypto,binance,ADA,USDT,,active,,{},2026-06-29 14:22:43.020342+00:00,2026-07-08 05:55:27.275767+00:00
21,2,DOGEUSDT,crypto,binance,DOGE,USDT,,active,,{},2026-06-29 14:23:17.869910+00:00,2026-07-08 05:55:27.275767+00:00
22,2,DOTUSDT,crypto,binance,DOT,USDT,,active,,{},2026-06-29 14:23:52.350080+00:00,2026-07-08 05:55:27.275767+00:00
23,2,AVAXUSDT,crypto,binance,AVAX,USDT,,active,,{},2026-06-29 14:24:27.402973+00:00,2026-07-08 05:55:27.275767+00:00
24,2,LINKUSDT,crypto,binance,LINK,USDT,,active,,{},2026-06-29 14:25:02.713864+00:00,2026-07-08 05:55:27.275767+00:00
30,1,TCB,stock,vnstock,,,,active,,{},2026-06-29 14:25:53.579212+00:00,2026-07-08 05:55:27.275767+00:00
31,1,MBB,stock,vnstock,,,,active,,{},2026-06-29 14:25:55.606700+00:00,2026-07-08 05:55:27.275767+00:00
32,1,VIC,stock,vnstock,,,,active,,{},2026-06-29 14:25:57.634155+00:00,2026-07-08 05:55:27.275767+00:00
33,1,VHM,stock,vnstock,,,,active,,{},2026-06-29 14:25:59.650036+00:00,2026-07-08 05:55:27.275767+00:00
34,1,SSI,stock,vnstock,,,,active,,{},2026-06-29 14:26:01.665003+00:00,2026-07-08 05:55:27.275767+00:00
35,1,GAS,stock,vnstock,,,,active,,{},2026-06-29 14:26:03.679895+00:00,2026-07-08 05:55:27.275767+00:00
36,1,PLX,stock,vnstock,,,,active,,{},2026-06-29 14:26:05.695664+00:00,2026-07-08 05:55:27.275767+00:00
37,1,SAB,stock,vnstock,,,,active,,{},2026-06-29 14:26:07.708785+00:00,2026-07-08 05:55:27.275767+00:00
38,1,MWG,stock,vnstock,,,,active,,{},2026-06-29 14:26:09.719013+00:00,2026-07-08 05:55:27.275767+00:00
39,1,ACB,stock,vnstock,,,,active,,{},2026-06-29 14:26:11.734793+00:00,2026-07-08 05:55:27.275767+00:00
