symbol,timeframe,model_type,mse,mae,mape
ACB,1d,gru,0.18960990292333327,0.33559630644948846,0.01599127887395587
ACB,1d,naive,0.1144065789473681,0.24565789473684205,0.011668413664767226
FPT,1d,gru,9.115361484302714,2.7249069294176604,0.03751203240249183
FPT,1d,naive,1.9185157894736853,1.0692105263157896,0.014499441327717808
GAS,1d,gru,24.67540492877731,4.224080176102487,0.052535940615502104
GAS,1d,naive,5.076184210526312,1.7144736842105257,0.021062115489162675
HPG,1d,gru,0.15345419771185048,0.3211424285487123,0.013388456099882403
HPG,1d,naive,0.10319999999999985,0.23947368421052576,0.00994009238595135
MBB,1d,gru,0.13555868427781723,0.28895894602725364,0.011331829585084552
MBB,1d,naive,0.09513157894736836,0.2276315789473683,0.008888758592467103
MSN,1d,gru,2.3047915796747476,1.2063576547723074,0.016214507794752222
MSN,1d,naive,1.2644736842105284,0.828947368421053,0.011076875379610315
MWG,1d,gru,4.898928623878378,1.581296599538702,0.019833345631824408
MWG,1d,naive,2.802105263157896,1.2578947368421054,0.015711506155610403
PLX,1d,gru,2.241989713818674,1.113286690962942,0.027687960982047486
PLX,1d,naive,1.5110197368421057,0.913815789473684,0.022760716761964134
SAB,1d,gru,0.5344201795377553,0.529003324006733,0.011293501989812063
SAB,1d,naive,0.5689802631578946,0.5269736842105258,0.011274032670983807
SSI,1d,gru,0.5337260332644694,0.5730353004054018,0.021078151358958585
SSI,1d,naive,0.2317105263157897,0.34473684210526334,0.012571856810980582
TCB,1d,gru,0.5903783635455747,0.6147945363898026,0.01945242029868601
TCB,1d,naive,0.27565789473684216,0.3894736842105265,0.012350380269426572
VCB,1d,gru,0.773186448666492,0.6356503536826693,0.010414601216067958
VCB,1d,naive,0.6939473684210541,0.5815789473684226,0.009539469114728244
VHM,1d,gru,127.76185998307335,9.754079079878954,0.06864621689627937
VHM,1d,naive,21.1136460526316,3.6198684210526326,0.026519742187129165
VIC,1d,gru,303.8285283682228,14.392258533678557,0.07295270375756707
VIC,1d,naive,34.90697368421055,4.332894736842108,0.02308873889048005
VNM,1d,gru,0.33630607869297763,0.4503407347829722,0.007754436165391831
VNM,1d,naive,0.2844276315789472,0.4275000000000004,0.00735840457676334
