symbol,timeframe,model_type,mse,mae,mape
ACB,1d,arima,1.6842721080750855,1.1906285623030515,0.057755714326748905
ACB,1d,naive,0.13530375,0.2561250000000002,0.012208671642974105
FPT,1d,arima,532.8866849372376,23.000123151164207,0.31425722234734194
FPT,1d,naive,6.596308749999999,1.3051249999999999,0.01752746527653066
GAS,1d,arima,331.6222820216621,17.730964710567612,0.21734415797662993
GAS,1d,naive,13.176125000000003,2.071249999999999,0.025014447702056096
HPG,1d,arima,0.5567444821117663,0.5895966118964001,0.024125959316421662
HPG,1d,naive,0.09883749999999995,0.2334999999999999,0.009693967156635109
MBB,1d,arima,5.111879132002279,2.170730869299949,0.08415445550866629
MBB,1d,naive,0.17581250000000007,0.25374999999999986,0.009879239962943046
MSN,1d,arima,24.864137579441774,4.181446634871034,0.057292727816123046
MSN,1d,naive,1.624750000000003,0.882500000000001,0.011806571014040045
MWG,1d,arima,9.042054277405535,2.4708442772722456,0.030427116730360842
MWG,1d,naive,2.7538750000000016,1.25625,0.015667438236893788
PLX,1d,arima,34.898815110637415,5.367531108833832,0.1315572756686131
PLX,1d,naive,3.482781250000002,1.099375,0.026563874336075367
SAB,1d,arima,3.9962027098587414,1.7784745858628574,0.037701112232440825
SAB,1d,naive,0.5525825000000005,0.5170000000000002,0.01107857767813535
SSI,1d,arima,19.17028930012973,4.308286468509652,0.15772336442464602
SSI,1d,naive,0.38660750000000005,0.3942500000000001,0.014319565059856598
TCB,1d,arima,9.153034072900612,2.605868106263732,0.08468916978692556
TCB,1d,naive,0.5507812500000002,0.434375,0.013909558894391633
VCB,1d,arima,4.0749367653826996,1.625514214691401,0.026377162578790712
VCB,1d,naive,0.7140000000000007,0.5950000000000008,0.009772641434148922
VHM,1d,arima,2425.351124149097,45.21215767987476,0.3189174067462752
VHM,1d,naive,20.625536250000014,3.5471250000000003,0.026312108949967362
VIC,1d,arima,8685.477319534188,86.83740982871575,0.4306444403756924
VIC,1d,naive,52.312875000000034,4.638750000000002,0.025543559059792505
VNM,1d,arima,3.462970811853785,1.4530508157411621,0.025522453827444298
VNM,1d,naive,0.27731999999999984,0.4205,0.007232894110417812
ADAUSDT,1d,arima,0.04093820076426934,0.1979123296329168,0.9691487461322813
ADAUSDT,1d,naive,0.00026708171171171177,0.006990090090090088,0.031691188907975155
ADAUSDT,1h,arima,0.040268882071433545,0.19621766128007087,0.9590782894218662
ADAUSDT,1h,naive,1.1079244644870353e-05,0.0010973694099962422,0.005108485426491331
AVAXUSDT,1d,arima,42.4817135802797,6.392445569404404,0.804654746140008
AVAXUSDT,1d,naive,0.3134323963963964,0.23527927927927939,0.027971449630929276
AVAXUSDT,1h,arima,43.087733429258904,6.439663467191864,0.8092800567006248
AVAXUSDT,1h,naive,0.014358279218338967,0.041517850432168345,0.005034060373447255
BNBUSDT,1d,arima,73463.32037626121,268.87386408227144,0.43938821446410176
BNBUSDT,1d,naive,726.1944378378379,11.741801801801802,0.018796250190598496
BNBUSDT,1h,arima,72837.89306763693,267.7230322430039,0.4374442520140213
BNBUSDT,1h,naive,30.33684047350618,1.9323675310033817,0.003118988602545113
BTCUSDT,1d,arima,454447117.61424214,20208.797816485698,0.29800463557816353
BTCUSDT,1d,naive,5569365.00498919,1233.0201801801802,0.017627829628525504
BTCUSDT,1h,arima,452774897.985567,20169.961252460183,0.2973180367168217
BTCUSDT,1h,naive,253137.72228087176,211.9882450206689,0.0030531241534967487
DOGEUSDT,1d,arima,0.0032909905179877084,0.05627209907688066,0.6251415863694937
DOGEUSDT,1d,naive,3.345787747747748e-05,0.002195495495495496,0.02350303749967152
DOGEUSDT,1h,arima,0.0033245892112628876,0.0565766073492897,0.6274559424206136
DOGEUSDT,1h,naive,1.5687249530251786e-06,0.0004195678316422398,0.004496569064399756
DOTUSDT,1d,arima,1.2884006694302843,1.120866419614215,1.0204509001301898
DOTUSDT,1d,naive,0.006657711711711707,0.03165765765765765,0.02604799402395898
DOTUSDT,1h,arima,1.2985228731561282,1.125277060377018,1.0205699011975167
DOTUSDT,1h,naive,0.00029342803457346875,0.006139045471627207,0.0052866785101901015
ETHUSDT,1d,arima,1070330.1022433597,1000.4017623169084,0.5199498767810325
ETHUSDT,1d,naive,9837.623729729736,46.8583783783784,0.023227180509356706
ETHUSDT,1h,arima,1078486.2284616695,1004.5473977439043,0.521757887505017
ETHUSDT,1h,naive,432.2984705749717,7.712198421645996,0.0038685188089585946
LINKUSDT,1d,arima,19.421346252177962,4.324952029217874,0.5052636412978488
LINKUSDT,1d,naive,0.20007646846846855,0.21794594594594593,0.024706017078138402
LINKUSDT,1h,arima,19.355729502859443,4.317054177930048,0.5040767795326817
LINKUSDT,1h,naive,0.00929749755730928,0.039534385569334834,0.004526757411851971
SOLUSDT,1d,arima,3234.090534700256,56.33024736595041,0.7113033861063655
SOLUSDT,1d,naive,25.564718918918928,2.196936936936938,0.026978789631175924
SOLUSDT,1h,arima,3251.788988622444,56.48517390312949,0.7131307018528119
SOLUSDT,1h,naive,1.1456466741826377,0.35839909808342707,0.004495829146563044
XRPUSDT,1d,arima,0.7980508246064201,0.8838150162326258,0.6997235663282058
XRPUSDT,1d,naive,0.005664773333333332,0.028598198198198203,0.021790893311768773
XRPUSDT,1h,arima,0.797053995927474,0.8832631558315222,0.6986609300613071
XRPUSDT,1h,naive,0.0002484418977827883,0.004960578729800827,0.0038619878217448066
